"Postcode","Latitude","Longitude","District","Ward","Roads","Population","Households"
"CF10 1BL","51.479054","-3.175774","Cardiff","Cathays","The Hayes","62","43"
"CF10 1BN","51.478813","-3.175610","Cardiff","Cathays","The Hayes","12","4"
"CF10 1BQ","51.478670","-3.175519","Cardiff","Cathays","The Hayes","",""
"CF10 1BR","51.480392","-3.181310","Cardiff","Cathays","Womanby Street","4","2"
"CF10 1BS","51.480986","-3.181296","Cardiff","Cathays","A4161","1","1"
"CF10 1BT","51.480933","-3.182044","Cardiff","Cathays","A4161","",""
"CF10 1BU","51.480533","-3.180680","Cardiff","Cathays","High Street","3","2"
"CF10 1BW","51.480745","-3.181074","Cardiff","Cathays","A4161","",""
"CF10 1BX","51.481015","-3.181095","Cardiff","Cathays","","",""
"CF10 1BY","51.480523","-3.180823","Cardiff","Cathays","","",""
"CF10 1BZ","51.478555","-3.175358","Cardiff","Cathays","The Hayes","",""
"CF10 1DA","51.479079","-3.180455","Cardiff","Cathays","Heol Y Porth,Plas Yr Neuadd","",""
"CF10 1DB","51.479979","-3.182134","Cardiff","Cathays","Heol Y Porth","",""
"CF10 1DD","51.480022","-3.181415","Cardiff","Cathays","Heol Y Porth,Womanby Street","",""
"CF10 1DE","51.479731","-3.181739","Cardiff","Cathays","Heol Y Porth","25","19"
"CF10 1DF","51.479855","-3.181987","Cardiff","Cathays","Heol Y Porth","30","23"
"CF10 1DG","51.479959","-3.182306","Cardiff","Cathays","Heol Y Porth","29","17"
"CF10 1DH","51.480110","-3.182512","Cardiff","Cathays","Heol Y Porth","22","16"
"CF10 1DJ","51.480234","-3.182760","Cardiff","Cathays","Heol Y Porth","31","24"
"CF10 1DL","51.480375","-3.183037","Cardiff","Cathays","Heol Y Porth","28","19"
"CF10 1DN","51.480507","-3.183314","Cardiff","Cathays","Heol Y Porth","28","19"
"CF10 1DW","51.478031","-3.178210","Cardiff","Cathays","Heol Eglwys Fair,Heol Y Porth,Wood Street","",""
"CF10 1DX","51.478656","-3.178687","Cardiff","Cathays","Golate,Heol Eglwys Fair","62","30"
"CF10 1DY","51.479843","-3.179625","Cardiff","Cathays","Heol Eglwys Fair","",""
"CF10 1DZ","51.480131","-3.180410","Cardiff","Cathays","Heol Y Porth,Quay Street","",""
"CF10 1EA","51.480102","-3.180683","Cardiff","Cathays","Quay Street,Womanby Street","2","2"
"CF10 1EB","51.479305","-3.179424","Cardiff","Cathays","Plas Yr Neuadd","25","17"
"CF10 1EF","51.478397","-3.174922","Cardiff","Cathays","The Hayes","",""
"CF10 1EG","51.477904","-3.173930","Cardiff","Cathays","Hayes Bridge Road,The Hayes","",""
"CF10 1EH","51.478741","-3.179165","Cardiff","Cathays","Heol Y Porth,Park Street","4","3"
"CF10 1EP","51.475764","-3.179217","Cardiff","Cathays","A4160,Saunders Road","",""
"CF10 1ET","51.478158","-3.179884","Cardiff","Cathays","Park Street","",""
"CF10 1EU","51.479083","-3.179116","Cardiff","Cathays","Golate","75","41"
"CF10 1EW","51.477853","-3.178926","Cardiff","Cathays","Wood Street","",""
"CF10 1EZ","51.477008","-3.175347","Cardiff","Cathays","Mill Lane","",""
"CF10 1FA","51.477149","-3.177424","Cardiff","Cathays","Heol Eglwys Fair,Heol Y Porth,Penarth Road,Saunders Road","13","7"
"CF10 1FD","51.477998","-3.177086","Cardiff","Cathays","Heol Eglwys Fair","8","7"
"CF10 1FE","51.477319","-3.176637","Cardiff","Cathays","Heol Eglwys Fair","",""
"CF10 1FF","51.477852","-3.176420","Cardiff","Cathays","Caroline Street,Mill Lane","3","2"
"CF10 1FG","51.478101","-3.176657","Cardiff","Cathays","Caroline Street,Heol Eglwys Fair","10","6"
"CF10 1FH","51.477698","-3.176459","Cardiff","Cathays","","",""
"CF10 1FJ","51.477637","-3.176328","Cardiff","Cathays","","",""
"CF10 1FL","51.477441","-3.176093","Cardiff","Cathays","Mill Lane","",""
"CF10 1FN","51.477957","-3.176682","Cardiff","Cathays","Heol Eglwys Fair","24","15"
"CF10 1FP","51.478407","-3.176622","Cardiff","Cathays","Heol Eglwys Fair","19","12"
"CF10 1FQ","51.478140","-3.176341","Cardiff","Cathays","Heol Eglwys Fair","16","12"
"CF10 1FR","51.479072","-3.176667","Cardiff","Cathays","","74","47"
"CF10 1FS","51.476633","-3.180492","Cardiff","Cathays","Great Western Lane,Wood Street","",""
"CF10 1FT","51.476815","-3.179403","Cardiff","Cathays","","",""
"CF10 1FW","51.477064","-3.178704","Cardiff","Cathays","Wood Street","",""
"CF10 1FX","51.477064","-3.178704","Cardiff","Cathays","Wood Street","",""
"CF10 1FY","51.477064","-3.178704","Cardiff","Cathays","Wood Street","",""
"CF10 1FZ","51.477064","-3.178704","Cardiff","Cathays","Havelock Street,Wood Street","",""
"CF10 1GA","51.478759","-3.175565","Cardiff","Cathays","Mill Lane,The Hayes","",""
"CF10 1GB","51.479103","-3.178094","Cardiff","Cathays","Heol Eglwys Fair","",""
"CF10 1GD","51.476149","-3.176722","Cardiff","Cathays","Heol Eglwys Fair,Heol Y Tollty,Mill Lane","",""
"CF10 1GF","51.477081","-3.177984","Cardiff","Cathays","","",""
"CF10 1GH","51.477044","-3.174470","Cardiff","Cathays","A4160,Bridge Street,Hayes Bridge Road,Heol Y Tollty","3","3"
"CF10 1GJ","51.481285","-3.178395","Cardiff","Cathays","St John Street","5","3"
"CF10 1GL","51.480912","-3.178774","Cardiff","Cathays","A4161,St John Street,Stryd Yr Eglwys,Working Street","3","3"
"CF10 1GN","51.481110","-3.177915","Cardiff","Cathays","Working Street","2","1"
"CF10 1GP","51.480232","-3.176654","Cardiff","Cathays","Working Street","",""
"CF10 1GR","51.477827","-3.178896","Cardiff","Cathays","","",""
"CF10 1GS","51.479603","-3.177488","Cardiff","Cathays","Heol y Drindod","",""
"CF10 1JA","51.479971","-3.183833","Cardiff","Cathays","Heol Y Porth","",""
"CF10 1JE","51.478599","-3.178988","Cardiff","Cathays","Heol Y Porth","",""
"CF10 1LA","51.476932","-3.182027","Cardiff","Cathays","Park Street,Wood Street","",""
"CF10 1NS","51.478283","-3.182652","Cardiff","Cathays","Heol Y Porth","",""
"CF10 1NT","51.478178","-3.180604","Cardiff","Cathays","Park Street","",""
"CF10 1PL","51.479191","-3.178255","Cardiff","Cathays","Heol Eglwys Fair","",""
"CF10 1PT","51.480474","-3.180304","Cardiff","Cathays","High Street","14","10"
"CF10 1PU","51.480840","-3.180630","Cardiff","Cathays","A4160,A4161,High Street","38","20"
"CF10 1RH","51.476116","-3.177297","Cardiff","Cathays","Great Western Lane,Heol Eglwys Fair,Saunders Road","",""
"CF10 1SG","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 1SZ","51.480825","-3.182934","Cardiff","Cathays","A4161","",""
"CF10 1TD","51.479537","-3.176895","Cardiff","Cathays","The Hayes","",""
"CF10 1TL","51.478351","-3.178607","Cardiff","Cathays","","",""
"CF10 1UA","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 1UP","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 1WB","51.479669","-3.177244","Cardiff","Cathays","The Hayes","",""
"CF10 1XB","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 1XD","51.480668","-3.184312","Cardiff","Cathays","A4161,Heol Y Porth,Mark Street","",""
"CF10 1XR","51.477337","-3.181101","Cardiff","Cathays","Havelock Street,Park Street,Scott Road","",""
"CF10 1XS","51.465736","-3.193643","Cardiff","Grangetown","","",""
"CF10 1XT","51.465736","-3.193643","Cardiff","Grangetown","","",""
"CF10 1YA","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 1YG","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 2AA","51.479470","-3.172876","Cardiff","Cathays","Bridge Street,David Street","",""
"CF10 2AB","51.480568","-3.172760","Cardiff","Cathays","","",""
"CF10 2AD","51.480568","-3.172760","Cardiff","Cathays","","",""
"CF10 2AF","51.481720","-3.178896","Cardiff","Cathays","A4161,Queen Street,St John Street","",""
"CF10 2AG","51.482026","-3.177089","Cardiff","Cathays","Queen Street","",""
"CF10 2AQ","51.481928","-3.177951","Cardiff","Cathays","Heol Tyr Brodyr,Queen Street","",""
"CF10 2AR","51.482378","-3.176983","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 2AS","51.482088","-3.176327","Cardiff","Cathays","Queen Street","",""
"CF10 2AT","51.482352","-3.175960","Cardiff","Cathays","Queen Street","",""
"CF10 2BE","51.482415","-3.175112","Cardiff","Cathays","Charles Street,Queen Street","",""
"CF10 2BG","51.482687","-3.173938","Cardiff","Cathays","Crockherbtown Lane,Fford Churchill,Queen Street","",""
"CF10 2BH","51.482902","-3.173194","Cardiff","Cathays","Queen Street,Windsor Place","",""
"CF10 2BJ","51.483225","-3.172324","Cardiff","Cathays","A4161,Queen Street","",""
"CF10 2BU","51.481509","-3.178401","Cardiff","Cathays","Queen Street,St John Street","",""
"CF10 2BW","51.481685","-3.177023","Cardiff","Cathays","Queen Street","",""
"CF10 2BX","51.481745","-3.176419","Cardiff","Cathays","Queen Street","",""
"CF10 2BY","51.481234","-3.177198","Cardiff","Cathays","Queen Street","",""
"CF10 2DB","51.481633","-3.175999","Cardiff","Cathays","","",""
"CF10 2DP","51.480679","-3.175989","Cardiff","Cathays","The Hayes,Viaduct Road,Working Street","",""
"CF10 2DQ","51.480934","-3.176615","Cardiff","Cathays","","",""
"CF10 2DS","51.481570","-3.175018","Cardiff","Cathays","","",""
"CF10 2DW","51.482143","-3.173535","Cardiff","Cathays","Church Place,Fford Churchill","",""
"CF10 2DX","51.481706","-3.173149","Cardiff","Cathays","Fford Churchill,North Edward Street","",""
"CF10 2DY","51.481279","-3.172649","Cardiff","Cathays","Fford Churchill","7","5"
"CF10 2DZ","51.480994","-3.172382","Cardiff","Cathays","Bridge Street,Fford Churchill","",""
"CF10 2EA","51.480727","-3.172159","Cardiff","Cathays","Fford Churchill","",""
"CF10 2EE","51.479844","-3.172367","Cardiff","Cathays","Bridge Street","",""
"CF10 2EF","51.479422","-3.174012","Cardiff","Cathays","Bridge Street,The Hayes","",""
"CF10 2EH","51.479461","-3.172847","Cardiff","Cathays","David Street,Little Frederick Street","",""
"CF10 2EJ","51.479013","-3.175427","Cardiff","Cathays","","",""
"CF10 2EL","51.479190","-3.174813","Cardiff","Cathays","Millicent Street,The Hayes","3","1"
"CF10 2EN","51.478891","-3.173164","Cardiff","Cathays","David Street,Mary Ann Street,Millicent Street,Tredegar Street","",""
"CF10 2EP","51.478923","-3.171768","Cardiff","Cathays","Mary Ann Street","",""
"CF10 2EQ","51.478914","-3.171767","Cardiff","Cathays","Mary Ann Street","",""
"CF10 2ER","51.479009","-3.174923","Cardiff","Cathays","","",""
"CF10 2EW","51.480306","-3.175605","Cardiff","Cathays","","1","1"
"CF10 2EY","51.480225","-3.163866","Cardiff","Adamsdown","Adamscroft Place","89","44"
"CF10 2EZ","51.479729","-3.164070","Cardiff","Adamsdown","Adamscroft Place,Windsor Road","99","39"
"CF10 2FE","51.477952","-3.171843","Cardiff","Cathays","A4160,Mary Ann Street","",""
"CF10 2FF","51.477378","-3.172534","Cardiff","Cathays","A4160","140","86"
"CF10 2FG","51.477378","-3.172534","Cardiff","Cathays","A4160","148","88"
"CF10 2FH","51.477378","-3.172534","Cardiff","Cathays","A4160","136","83"
"CF10 2FJ","51.477378","-3.172534","Cardiff","Cathays","A4160","46","23"
"CF10 2FL","51.476935","-3.173646","Cardiff","Cathays","A4160","",""
"CF10 2FP","51.477084","-3.173204","Cardiff","Cathays","A4160","54","36"
"CF10 2FQ","51.477084","-3.173204","Cardiff","Cathays","A4160","66","42"
"CF10 2FR","51.480171","-3.173830","Cardiff","Cathays","Barrack Lane,Bridge Street","",""
"CF10 2FY","51.481901","-3.170692","Cardiff","Cathays","Station Terrace","",""
"CF10 2GA","51.481253","-3.173455","Cardiff","Cathays","Charles Street","",""
"CF10 2GB","51.480789","-3.173140","Cardiff","Cathays","Charles Street","",""
"CF10 2GE","51.480720","-3.173729","Cardiff","Cathays","Charles Street","2","1"
"CF10 2GF","51.480445","-3.173405","Cardiff","Cathays","Charles Street","",""
"CF10 2GG","51.480275","-3.173257","Cardiff","Cathays","Charles Street,Wesley Lane","",""
"CF10 2GL","51.482852","-3.170990","Cardiff","Cathays","Queen Street","",""
"CF10 2GP","51.482762","-3.170944","Cardiff","Cathays","Queen Street","152","85"
"CF10 2GQ","51.481880","-3.175530","Cardiff","Cathays","Queen Street","",""
"CF10 2GR","51.482139","-3.173880","Cardiff","Cathays","Charles Street,Queen Street","",""
"CF10 2GS","51.479997","-3.173163","Cardiff","Cathays","Charles Street","",""
"CF10 2HA","51.479689","-3.170722","Cardiff","Cathays","Fford Churchill,Guildford Crescent","",""
"CF10 2HD","51.482089","-3.172641","Cardiff","Cathays","David Street,Fford Churchill","",""
"CF10 2HE","51.481050","-3.171289","Cardiff","Cathays","Bridge Street,Fford Churchill,Guildford Street","",""
"CF10 2HH","51.481839","-3.172404","Cardiff","Cathays","Fford Churchill","",""
"CF10 2HL","51.480507","-3.170800","Cardiff","Cathays","Guildford Street","",""
"CF10 2HQ","51.482604","-3.172395","Cardiff","Cathays","Fford Churchill,North Edward Street,Park Lane,Queen Street,Station Terrace","",""
"CF10 2HR","51.481614","-3.171577","Cardiff","Cathays","Fford Churchill","60","31"
"CF10 2HS","51.481614","-3.171577","Cardiff","Cathays","Fford Churchill","149","76"
"CF10 2HT","51.481614","-3.171577","Cardiff","Cathays","Fford Churchill","128","82"
"CF10 2HU","51.481614","-3.171577","Cardiff","Cathays","Fford Churchill","60","43"
"CF10 2LE","51.479719","-3.175791","Cardiff","Cathays","","",""
"CF10 2NX","51.482580","-3.174770","Cardiff","Cathays","Queen Street","",""
"CF10 2PB","51.482239","-3.177354","Cardiff","Cathays","Heol Tyr Brodyr","1","1"
"CF10 2PX","51.481870","-3.175674","Cardiff","Cathays","Queen Street","",""
"CF10 2RG","51.481670","-3.176720","Cardiff","Cathays","Queen Street","",""
"CF10 2SF","51.480837","-3.173746","Cardiff","Cathays","Charles Street","5","2"
"CF10 2TH","51.479955","-3.171996","Cardiff","Cathays","Bridge Street","",""
"CF10 2TJ","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2TP","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2TQ","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2TR","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2TU","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2TX","51.480328","-3.172480","Cardiff","Cathays","","",""
"CF10 2TZ","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2UB","51.480166","-3.172534","Cardiff","Cathays","Bridge Street","",""
"CF10 2UD","51.481832","-3.178539","Cardiff","Cathays","Queen Street","",""
"CF10 2WG","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 2WT","51.478914","-3.171767","Cardiff","Cathays","","",""
"CF10 2XF","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 2XG","51.481995","-3.174798","Cardiff","Cathays","Queen Street","",""
"CF10 2XU","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 2YA","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 2YG","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 2YH","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3AE","51.483001","-3.176682","Cardiff","Cathays","Greyfriars Road","2","1"
"CF10 3AF","51.483579","-3.177331","Cardiff","Cathays","A4161,Greyfriars Road","3","3"
"CF10 3AG","51.482966","-3.177531","Cardiff","Cathays","A4161,Crockherbtown Lane,Greyfriars Road","",""
"CF10 3AL","51.483587","-3.176568","Cardiff","Cathays","Greyfriars Road","47","30"
"CF10 3AN","51.483574","-3.177820","Cardiff","Cathays","A4161,Greyfriars Road","",""
"CF10 3AP","51.487295","-3.183375","Cardiff","Cathays","King Edward Vii Avenue","",""
"CF10 3AQ","51.483574","-3.177820","Cardiff","Cathays","A4161","",""
"CF10 3AR","51.483499","-3.172821","Cardiff","Cathays","A4161","",""
"CF10 3AS","51.489502","-3.181243","Cardiff","Cathays","Crockherbtown Lane","6","3"
"CF10 3AT","51.489014","-3.179718","Cardiff","Cathays","Crockherbtown Lane,King Edward Vii Avenue,Museum Avenue","2","2"
"CF10 3AW","51.483499","-3.172821","Cardiff","Cathays","A4161","",""
"CF10 3AX","51.489091","-3.181822","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3AY","51.483499","-3.172821","Cardiff","Cathays","A4161","",""
"CF10 3BA","51.485795","-3.176091","Cardiff","Cathays","A4161,Crockherbtown Lane,Gorsedd Gardens Road,Park Lane","10","4"
"CF10 3BB","51.487207","-3.176992","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3BD","51.486796","-3.175815","Cardiff","Cathays","A4161,Museum Place","1","1"
"CF10 3BE","51.485365","-3.174986","Cardiff","Cathays","St Andrew's Crescent,St Andrew's Place","",""
"CF10 3BF","51.483499","-3.172821","Cardiff","Cathays","A4161","",""
"CF10 3BG","51.486428","-3.175704","Cardiff","Cathays","Museum Place","",""
"CF10 3BH","51.486541","-3.175261","Cardiff","Cathays","Museum Place,Park Grove","",""
"CF10 3BJ","51.486066","-3.175061","Cardiff","Cathays","Park Grove","",""
"CF10 3BN","51.486108","-3.174501","Cardiff","Cathays","Park Grove,St Andrew's Crescent","",""
"CF10 3BQ","51.483499","-3.172821","Cardiff","Cathays","A4161","",""
"CF10 3BS","51.486082","-3.176156","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3BW","51.483346","-3.172788","Cardiff","Cathays","Windsor Place","",""
"CF10 3BX","51.483225","-3.173217","Cardiff","Cathays","A4161,Windsor Place","",""
"CF10 3BY","51.484037","-3.173843","Cardiff","Cathays","A4161,Windsor Place","",""
"CF10 3BZ","51.484098","-3.173110","Cardiff","Cathays","A4161,Windsor Place","4","1"
"CF10 3DA","51.484580","-3.174433","Cardiff","Cathays","St Andrew's Crescent","",""
"CF10 3DB","51.485142","-3.174793","Cardiff","Cathays","St Andrew's Crescent","",""
"CF10 3DD","51.485316","-3.173588","Cardiff","Cathays","St Andrew's Crescent,St Andrew's Lane","1","1"
"CF10 3DF","51.484824","-3.173388","Cardiff","Cathays","A4161,St Andrew's Crescent","",""
"CF10 3DG","51.484749","-3.174624","Cardiff","Cathays","St Andrew's Crescent","",""
"CF10 3DJ","51.485322","-3.173026","Cardiff","Cathays","St Andrew's Lane","",""
"CF10 3DN","51.482875","-3.174922","Cardiff","Cathays","A4161,Crockherbtown Lane","",""
"CF10 3DP","51.483328","-3.174559","Cardiff","Cathays","A4161,Crockherbtown Lane,Greyfriars Road","",""
"CF10 3DQ","51.485098","-3.175656","Cardiff","Cathays","A4161,Crockherbtown Lane,Gorsedd Gardens Road","",""
"CF10 3DU","51.488838","-3.185546","Cardiff","Cathays","A4161","",""
"CF10 3DW","51.493757","-3.190802","Cardiff","Cathays","Marlborough Terrace","7","5"
"CF10 3DX","51.492758","-3.189148","Cardiff","Cathays","A4161,Sophia Close,Trotman Dickenson Place","39","20"
"CF10 3DY","51.489308","-3.186149","Cardiff","Cathays","A4161","10","7"
"CF10 3DZ","51.494170","-3.189992","Cardiff","Cathays","A4161,Blackweir Terrace,Marlborough Terrace,North Road","77","35"
"CF10 3EA","51.491417","-3.189214","Cardiff","Cathays","A4161","12","8"
"CF10 3EB","51.489325","-3.183586","Cardiff","Cathays","Corbett Road","",""
"CF10 3ED","51.490090","-3.185377","Cardiff","Cathays","Corbett Road,King Edward Vii Avenue,Queen Anne Square","83","28"
"CF10 3EE","51.490155","-3.184212","Cardiff","Cathays","Colum Road","103","24"
"CF10 3EF","51.490922","-3.185773","Cardiff","Cathays","Colum Drive,Colum Place,Colum Road","268","41"
"CF10 3EG","51.489909","-3.182780","Cardiff","Cathays","Colum Road,Colum Terrace","118","36"
"CF10 3EH","51.490790","-3.184546","Cardiff","Cathays","Colum Road","197","69"
"CF10 3EJ","51.491882","-3.186850","Cardiff","Cathays","Colum Place,Colum Road","335","22"
"CF10 3EL","51.492553","-3.188106","Cardiff","Cathays","Colum Road","27","11"
"CF10 3EN","51.489768","-3.184231","Cardiff","Cathays","Colum Terrace","2","1"
"CF10 3EP","51.492704","-3.187404","Cardiff","Cathays","Colum Place","37","20"
"CF10 3EQ","51.494033","-3.189282","Cardiff","Cathays","Blackweir Terrace","52","24"
"CF10 3ER","51.486163","-3.184152","Cardiff","Cathays","A4161,College Road","",""
"CF10 3ET","51.483874","-3.181155","Cardiff","Cathays","A4161","",""
"CF10 3EU","51.491402","-3.184489","Cardiff","Cathays","Colum Drive","",""
"CF10 3EW","51.484147","-3.181695","Cardiff","Cathays","A4161,City Hall Road","",""
"CF10 3EX","51.494588","-3.190492","Cardiff","Cathays","North Road","",""
"CF10 3EY","51.493148","-3.187934","Cardiff","Cathays","Blackweir Terrace","361","0"
"CF10 3EZ","51.493121","-3.188855","Cardiff","Cathays","Blackweir Terrace,Colum Road","61","32"
"CF10 3FA","51.482221","-3.177425","Cardiff","Cathays","Greyfriars Road,Heol Tyr Brodyr","",""
"CF10 3FD","51.482422","-3.178856","Cardiff","Cathays","A4161","1","1"
"CF10 3FG","51.481972","-3.178917","Cardiff","Cathays","A4161","",""
"CF10 3FH","51.484011","-3.174634","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3FJ","51.485631","-3.177225","Cardiff","Cathays","","",""
"CF10 3FN","51.483622","-3.171312","Cardiff","Cathays","A4161,Station Terrace","",""
"CF10 3GA","51.484373","-3.172570","Cardiff","Cathays","A4161","1","1"
"CF10 3HA","51.493603","-3.190078","Cardiff","Cathays","A4161","56","43"
"CF10 3HH","51.482848","-3.178550","Cardiff","Cathays","A4161","",""
"CF10 3LB","51.490778","-3.183047","Cardiff","Cathays","Colum Drive","",""
"CF10 3LN","51.483606","-3.175531","Cardiff","Cathays","A4161,Crockherbtown Lane","",""
"CF10 3NB","51.486484","-3.182662","Cardiff","Cathays","A4161,College Road,King Edward Vii Avenue","",""
"CF10 3ND","51.485149","-3.178667","Cardiff","Cathays","A4161,Gorsedd Gardens Road,King Edward Vii Avenue,Museum Avenue","",""
"CF10 3NL","51.484548","-3.180279","Cardiff","Cathays","A4161,King Edward Vii Avenue","",""
"CF10 3NN","51.485135","-3.180957","Cardiff","Cathays","King Edward Vii Avenue","",""
"CF10 3NP","51.485631","-3.177225","Cardiff","Cathays","Gorsedd Gardens Road,Museum Avenue","",""
"CF10 3NQ","51.488373","-3.182582","Cardiff","Cathays","College Road","",""
"CF10 3NS","51.485538","-3.181039","Cardiff","Cathays","King Edward Vii Avenue","",""
"CF10 3PG","51.484548","-3.180279","Cardiff","Cathays","King Edward Vii Avenue","",""
"CF10 3PL","51.482966","-3.177531","Cardiff","Cathays","Greyfriars Road","",""
"CF10 3PW","51.483574","-3.177820","Cardiff","Cathays","A4161","",""
"CF10 3QN","51.488407","-3.177469","Cardiff","Cathays","Crockherbtown Lane,Senghennydd Road","",""
"CF10 3RB","51.482242","-3.181516","Cardiff","Cathays","A4161,Greyfriars Road","",""
"CF10 3RJ","51.485055","-3.172760","Cardiff","Cathays","A4161","",""
"CF10 3RL","51.486519","-3.176542","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3RS","51.483364","-3.174589","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3SG","51.484303","-3.173273","Cardiff","Cathays","Windsor Place","",""
"CF10 3SX","51.483368","-3.173336","Cardiff","Cathays","Windsor Place","",""
"CF10 3TS","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3UA","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3UB","51.486851","-3.176536","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3UD","51.482792","-3.174257","Cardiff","Cathays","Crockherbtown Lane","",""
"CF10 3UN","51.491577","-3.187648","Cardiff","Cathays","A4161,Colum Road","63","0"
"CF10 3UP","51.489079","-3.183968","Cardiff","Cathays","Corbett Road","106","1"
"CF10 3UW","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3WA","51.485828","-3.181724","Cardiff","Cathays","King Edward Vii Avenue","",""
"CF10 3WD","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3WT","51.485828","-3.181724","Cardiff","Cathays","King Edward Vii Avenue","",""
"CF10 3WX","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3XA","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3XL","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3XR","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3XS","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3XZ","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3YZ","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
"CF10 3ZP","51.465736","-3.193643","Cardiff","Grangetown","A4160","",""
